,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.585322392,0.250100091,0.128647452,0.119962471,0.263761522,0.331899344,0.373887337,0.383807093,0.292224479,0.198503514,0.161198918,0.184682988,0.109813653,0.084883487,0.05152729,0.02319481,3.543416841
infected_2,0.272320759,1.012449424,0.372975026,0.130602052,0.143859936,0.235240931,0.279957765,0.372023932,0.353854884,0.163046777,0.087720024,0.124732237,0.10376296,0.069557395,0.031925139,0.022555472,3.776584714
infected_3,0.088194829,0.4628153,1.645581339,0.324691919,0.279317112,0.194632751,0.219006948,0.313276826,0.406773626,0.247826654,0.109390104,0.093345259,0.0586752,0.054522184,0.037461979,0.030844184,4.566356214
infected_4,0.060787139,0.188876177,0.883409696,3.344371678,1.053040398,0.405824072,0.250528141,0.358829349,0.413199255,0.35242427,0.106900293,0.072846911,0.047824603,0.03911358,0.022575657,0.014341657,7.614892876
infected_5,0.112238425,0.141107742,0.211470366,1.719045628,3.615674677,1.177644768,0.68024681,0.540530875,0.472665039,0.528641436,0.215707172,0.196037863,0.070642352,0.04876693,0.051687999,0.038962794,9.821070879
infected_6,0.159854678,0.082024196,0.074227644,0.366307069,1.330988281,1.399473648,0.775687626,0.621359591,0.467158605,0.405633112,0.230379466,0.169513917,0.059816345,0.040053288,0.024291776,0.011717099,6.21848634
infected_7,0.157404287,0.11042966,0.168613334,0.169668412,0.584273895,0.707773114,0.865278322,0.739034382,0.522932569,0.383172832,0.261135071,0.25863305,0.106025441,0.069531075,0.033924753,0.030166224,5.167996421
infected_8,0.170877448,0.198813149,0.150532599,0.140653297,0.435783688,0.630219677,0.768824006,1.120522827,0.87851519,0.540749372,0.247676315,0.269375323,0.207188347,0.130368179,0.074420764,0.028183149,5.992703332
infected_9,0.131520649,0.168464045,0.26530249,0.215063191,0.50210503,0.496769243,0.668369564,0.863968135,1.0536867,0.615393273,0.283715336,0.183141638,0.155369847,0.099267704,0.073184319,0.029570729,5.804891894
infected_10,0.038108133,0.061835749,0.080968537,0.194877501,0.348413549,0.356363409,0.426005745,0.56928321,0.614134209,0.60368108,0.315631926,0.198307732,0.126312155,0.075278281,0.065016547,0.048045478,4.122263242
infected_11,0.040725539,0.075451254,0.086096943,0.16151649,0.383660388,0.401287013,0.286664182,0.332643279,0.423247455,0.45343969,0.239331665,0.260232233,0.141632704,0.070421225,0.044978603,0.029019486,3.430348148
infected_12,0.076083112,0.066829985,0.072267159,0.108237891,0.352556393,0.489662708,0.494629042,0.490955854,0.539547549,0.364686327,0.359589429,0.460751631,0.267169285,0.135740202,0.072905075,0.037885612,4.389497255
infected_13,0.045797085,0.049437314,0.042767114,0.085747416,0.235065227,0.298064539,0.29986279,0.429945306,0.416892095,0.32377115,0.196869501,0.334847638,0.260808644,0.173095021,0.117647297,0.047247421,3.357865559
infected_14,0.039625162,0.051717084,0.033032993,0.043885459,0.166629185,0.214443268,0.264612429,0.283690417,0.30363724,0.231548601,0.171938733,0.255532097,0.217023921,0.172091924,0.088359001,0.050455967,2.588223482
infected_15,0.014386878,0.030111111,0.04360325,0.102692686,0.123855053,0.148817476,0.149409925,0.248780076,0.327536486,0.236768426,0.130102634,0.178326556,0.26282365,0.215584305,0.192565284,0.067185255,2.47254905
infected_16,0.021243533,0.021337333,0.03167565,0.022084305,0.062865167,0.069168453,0.128018014,0.122923597,0.131853784,0.156829155,0.076849987,0.101785698,0.08626694,0.104679846,0.088354422,0.057367471,1.283303354
